gene_name	query	indication_meshId	indication_meshName	clinical_success
ABAT	[MASK] is a promising drug target for the treatment of alzheimer disease.	D000544	Alzheimer Disease	0
ABAT	[MASK] is a promising drug target for the treatment of infantile spasms.	D013036	Spasms, Infantile	1
ABCA4	[MASK] is a promising drug target for the treatment of macular degeneration.	D008268	Macular Degeneration	0
ABCC8	[MASK] is a promising drug target for the treatment of traumatic brain injuries.	D000070642	Brain Injuries, Traumatic	0
ABCC8	[MASK] is a promising drug target for the treatment of brain ischemia.	D002545	Brain Ischemia	0
ABCC8	[MASK] is a promising drug target for the treatment of diabetes mellitus.	D003920	Diabetes Mellitus	1
ABCC8	[MASK] is a promising drug target for the treatment of type 2 diabetes mellitus.	D003924	Diabetes Mellitus, Type 2	1
ABCC8	[MASK] is a promising drug target for the treatment of spinal cord injuries.	D013119	Spinal Cord Injuries	0
ABCD1	[MASK] is a promising drug target for the treatment of adrenoleukodystrophy.	D000326	Adrenoleukodystrophy	1
ABL1	[MASK] is a promising drug target for the treatment of covid-19.	D000086382	COVID-19	0
ABL1	[MASK] is a promising drug target for the treatment of breast neoplasms.	D001943	Breast Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of non-small-cell lung carcinoma.	D002289	Carcinoma, Non-Small-Cell Lung	0
ABL1	[MASK] is a promising drug target for the treatment of esophageal neoplasms.	D004938	Esophageal Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of kidney neoplasms.	D007680	Kidney Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of mesothelioma.	D008654	Mesothelioma	0
ABL1	[MASK] is a promising drug target for the treatment of multiple myeloma.	D009101	Multiple Myeloma	0
ABL1	[MASK] is a promising drug target for the treatment of myelodysplastic syndromes.	D009190	Myelodysplastic Syndromes	0
ABL1	[MASK] is a promising drug target for the treatment of ovarian neoplasms.	D010051	Ovarian Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of pancreatic neoplasms.	D010190	Pancreatic Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of prostatic neoplasms.	D011471	Prostatic Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of colorectal neoplasms.	D015179	Colorectal Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of bcr-abl positive chronic myelogenous leukemia.	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
ABL1	[MASK] is a promising drug target for the treatment of acute myeloid leukemia.	D015470	Leukemia, Myeloid, Acute	1
ABL1	[MASK] is a promising drug target for the treatment of endometrial neoplasms.	D016889	Endometrial Neoplasms	0
ABL1	[MASK] is a promising drug target for the treatment of precursor cell lymphoblastic leukemia-lymphoma.	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
ABL1	[MASK] is a promising drug target for the treatment of small cell lung carcinoma.	D055752	Small Cell Lung Carcinoma	0
ACACA	[MASK] is a promising drug target for the treatment of acne vulgaris.	D000152	Acne Vulgaris	0
ACACA	[MASK] is a promising drug target for the treatment of type 2 diabetes mellitus.	D003924	Diabetes Mellitus, Type 2	0
ACACB	[MASK] is a promising drug target for the treatment of acne vulgaris.	D000152	Acne Vulgaris	0
ACE	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	1
ACE	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ACE	[MASK] is a promising drug target for the treatment of myocardial infarction.	D009203	Myocardial Infarction	1
ACE2	[MASK] is a promising drug target for the treatment of respiratory distress syndrome.	D012128	Respiratory Distress Syndrome	0
ACE2	[MASK] is a promising drug target for the treatment of acute lung injury.	D055371	Acute Lung Injury	0
ACHE	[MASK] is a promising drug target for the treatment of alzheimer disease.	D000544	Alzheimer Disease	1
ACHE	[MASK] is a promising drug target for the treatment of anesthesia recovery period.	D000762	Anesthesia Recovery Period	1
ACHE	[MASK] is a promising drug target for the treatment of brain ischemia.	D002545	Brain Ischemia	0
ACHE	[MASK] is a promising drug target for the treatment of dementia.	D003704	Dementia	1
ACHE	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
ACHE	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
ACHE	[MASK] is a promising drug target for the treatment of operative surgical procedures.	D013514	Surgical Procedures, Operative	1
ACHE	[MASK] is a promising drug target for the treatment of trichomonas infections.	D014245	Trichomonas Infections	1
ACHE	[MASK] is a promising drug target for the treatment of xerostomia.	D014987	Xerostomia	0
ACHE	[MASK] is a promising drug target for the treatment of lewy body disease.	D020961	Lewy Body Disease	1
